TRANSACTION_DATE,TOTAL_TRANSACTION_VALUE
2016-10-04 00:00:00.000,699967.085459313
2016-10-05 00:00:00.000,968832.977808938
2016-10-06 00:00:00.000,931422.036195359
2016-10-07 00:00:00.000,935729.963686643
2016-10-08 00:00:00.000,1051596.18905313
2016-10-09 00:00:00.000,2585044.48355533
2016-10-10 00:00:00.000,2585024.53552616
2016-10-11 00:00:00.000,2300391.44757651
2016-10-12 00:00:00.000,2628554.09505047
2016-10-13 00:00:00.000,1020347.245341
2016-10-14 00:00:00.000,2626629.38901362
2016-10-15 00:00:00.000,976338.328339548
2016-10-16 00:00:00.000,1598628.10821204
2016-10-17 00:00:00.000,1830108.17805942
2016-10-18 00:00:00.000,2767128.56201558
2016-10-19 00:00:00.000,664705.418224685
2016-10-20 00:00:00.000,726414.079497814
2016-10-21 00:00:00.000,619930.583215963
2016-10-22 00:00:00.000,501736.985689788
2016-10-23 00:00:00.000,432743.420850938
2016-10-24 00:00:00.000,651058.996584697
2016-10-25 00:00:00.000,1105436.91701159
2016-10-26 00:00:00.000,931704.972015143
2016-10-27 00:00:00.000,926220.752789828
2016-10-28 00:00:00.000,1541012.31677381
2016-10-29 00:00:00.000,1868190.419297
2016-10-30 00:00:00.000,2428219.73044014
2016-10-31 00:00:00.000,1227410.65685238
2016-11-01 00:00:00.000,2875133.32915795
2016-11-02 00:00:00.000,4310251.82960558
2016-11-03 00:00:00.000,9944862.58584998
2016-11-04 00:00:00.000,1198476.61144169
2016-11-05 00:00:00.000,863566.167271744
2016-11-06 00:00:00.000,514304.597468458
2016-11-07 00:00:00.000,641476.328596562
2016-11-08 00:00:00.000,675495.904675618
2016-11-09 00:00:00.000,2036177.39782754
2016-11-10 00:00:00.000,1020873.29680085
2016-11-11 00:00:00.000,3569496.60755279
2016-11-12 00:00:00.000,1242507.66742589
2016-11-13 00:00:00.000,1266523.66420967
2016-11-14 00:00:00.000,534346.483157429
2016-11-15 00:00:00.000,1030273.11474321
2016-11-16 00:00:00.000,1081713.73398546
2016-11-17 00:00:00.000,3211389.64814241
2016-11-18 00:00:00.000,1081674.62938078
2016-11-19 00:00:00.000,860708.716478055
2016-11-20 00:00:00.000,637543.75686195
2016-11-21 00:00:00.000,660726.505209948
2016-11-22 00:00:00.000,2588963.32987673
2016-11-23 00:00:00.000,2426620.23001881
2016-11-24 00:00:00.000,836693.762789791
2016-11-25 00:00:00.000,1514995.77216536
2016-11-26 00:00:00.000,702975.907515435
2016-11-27 00:00:00.000,712573.555816801
2016-11-28 00:00:00.000,795059.332640638
2016-11-29 00:00:00.000,1317858.1669532
2016-11-30 00:00:00.000,1186508.222145
2016-12-01 00:00:00.000,1037290.98493082
2016-12-02 00:00:00.000,3315280.19416608
2016-12-03 00:00:00.000,4825980.31107962
2016-12-04 00:00:00.000,1692306.57754095
2016-12-05 00:00:00.000,3643135.24191494
2016-12-06 00:00:00.000,6260358.79000011
2016-12-07 00:00:00.000,2444028.29682136
2016-12-08 00:00:00.000,2505143.35135772
2016-12-09 00:00:00.000,2526924.58607837
2016-12-10 00:00:00.000,1412824.70913524
2016-12-11 00:00:00.000,1947010.3047585
2016-12-12 00:00:00.000,1064170.17661696
2016-12-13 00:00:00.000,1106448.27262145
2016-12-14 00:00:00.000,1052644.11122994
2016-12-15 00:00:00.000,2119882.77373495
2016-12-16 00:00:00.000,1379348.38013154
2016-12-17 00:00:00.000,3105235.57018186
2016-12-18 00:00:00.000,2159771.27087318
2016-12-19 00:00:00.000,1382396.03698056
2016-12-20 00:00:00.000,1392213.35072723
2016-12-21 00:00:00.000,2078876.49884081
2016-12-22 00:00:00.000,3335093.1333926
2016-12-23 00:00:00.000,6254070.76942383
2016-12-24 00:00:00.000,2353296.85169778
2016-12-25 00:00:00.000,1059724.00319435
2016-12-26 00:00:00.000,831195.746193384
2016-12-27 00:00:00.000,1416636.56385761
2016-12-28 00:00:00.000,2901169.49783741
2016-12-29 00:00:00.000,4563283.23726872
2016-12-30 00:00:00.000,3278497.13870236
2016-12-31 00:00:00.000,6359972.39612568
2017-01-01 00:00:00.000,1818130.6165409
2017-01-02 00:00:00.000,2857196.95549076
2017-01-03 00:00:00.000,5066915.04294093
2017-01-04 00:00:00.000,7864367.46151124
2017-01-05 00:00:00.000,8078450.66662219
2017-01-06 00:00:00.000,7418385.80690349
2017-01-07 00:00:00.000,4401826.15199136
2017-01-08 00:00:00.000,2502133.90197167
2017-01-09 00:00:00.000,4411982.97227066
2017-01-10 00:00:00.000,4590314.23687667
2017-01-11 00:00:00.000,4615551.14511629
2017-01-12 00:00:00.000,4551283.78439998
2017-01-13 00:00:00.000,2495563.7468333
2017-01-14 00:00:00.000,937696.000195267
2017-01-15 00:00:00.000,585161.967790242
2017-01-16 00:00:00.000,804348.863731366
2017-01-17 00:00:00.000,1557463.86129902
2017-01-18 00:00:00.000,872848.474042759
2017-01-19 00:00:00.000,1002399.58543499
2017-01-20 00:00:00.000,2698642.94567586
2017-01-21 00:00:00.000,945879.118966662
2017-01-22 00:00:00.000,979875.85718838
2017-01-23 00:00:00.000,882350.548711737
2017-01-24 00:00:00.000,788973.523257984
2017-01-25 00:00:00.000,947364.508222096
2017-01-26 00:00:00.000,1069258.4230075
2017-01-27 00:00:00.000,1025198.08510074
2017-01-28 00:00:00.000,599825.33944696
2017-01-29 00:00:00.000,871072.319963129
2017-01-30 00:00:00.000,696714.945609034
2017-01-31 00:00:00.000,1277372.9430269
2017-02-01 00:00:00.000,1269690.34995944
2017-02-02 00:00:00.000,1230220.30458272
2017-02-03 00:00:00.000,1638911.78139723
2017-02-04 00:00:00.000,1769216.39616906
2017-02-05 00:00:00.000,745100.083346332
2017-02-06 00:00:00.000,1343884.15533616
2017-02-07 00:00:00.000,1276061.06491452
2017-02-08 00:00:00.000,1194695.8827963
2017-02-09 00:00:00.000,1337664.37068405
2017-02-10 00:00:00.000,1644212.8100938
2017-02-11 00:00:00.000,933082.100702076
2017-02-12 00:00:00.000,1211245.40886482
2017-02-13 00:00:00.000,1204585.00174454
2017-02-14 00:00:00.000,3489943.44277384
2017-02-15 00:00:00.000,3956306.42847341
2017-02-16 00:00:00.000,2384591.76167112
2017-02-17 00:00:00.000,2585731.98041931
2017-02-18 00:00:00.000,2382295.80024975
2017-02-19 00:00:00.000,2343842.04823445
2017-02-20 00:00:00.000,2452284.61109217
2017-02-21 00:00:00.000,3791513.60511015
2017-02-22 00:00:00.000,2695494.54806051
2017-02-23 00:00:00.000,2600057.18253409
2017-02-24 00:00:00.000,5121345.57870878
2017-02-25 00:00:00.000,3188485.40990766
2017-02-26 00:00:00.000,3847978.22904947
2017-02-27 00:00:00.000,9134151.39090161
2017-02-28 00:00:00.000,11310057.8251496
2017-03-01 00:00:00.000,11794016.4159609
2017-03-02 00:00:00.000,17308255.1928864
2017-03-03 00:00:00.000,16473620.6139824
2017-03-04 00:00:00.000,10685026.9878007
2017-03-05 00:00:00.000,9159766.11104267
2017-03-06 00:00:00.000,15317031.8788351
2017-03-07 00:00:00.000,10370310.0055713
2017-03-08 00:00:00.000,11254298.5498138
2017-03-09 00:00:00.000,14873191.1200347
2017-03-10 00:00:00.000,13513583.4650333
