TRANSACTION_DATE,TRANSACTION_VOLUME,TRANSACTION_VALUE,ACTIVE_WALLETS,TOTAL_GAS_FEES
2016-08-06 00:00:00.000,41437,1805420.16262209,8597,25.828599779
2016-08-07 00:00:00.000,42897,2096545.77760866,8674,27.538958073
2016-08-08 00:00:00.000,42892,2104359.46697548,9544,53.164771982
2016-08-09 00:00:00.000,46953,3168041.8831613,10434,30.873875421
2016-08-10 00:00:00.000,46226,4821276.45791814,9379,33.228999638
2016-08-11 00:00:00.000,48117,3890362.38897317,10889,31.957251612
2016-08-12 00:00:00.000,44351,2295364.00139968,8685,30.10021416
2016-08-13 00:00:00.000,41027,1996837.87723023,8012,24.9131846
2016-08-14 00:00:00.000,40530,1610520.96351774,8616,24.014897087
2016-08-15 00:00:00.000,42229,1431506.60268316,8748,26.914799873
2016-08-16 00:00:00.000,48870,933774.262001964,9724,30.963262326
2016-08-17 00:00:00.000,44761,1764984.11086391,8740,28.351737841
2016-08-18 00:00:00.000,47506,1167707.78752202,8690,35.004008933
2016-08-19 00:00:00.000,42777,1024505.31710418,8710,29.304304429
2016-08-20 00:00:00.000,41183,1548159.82648844,9016,26.116246643
2016-08-21 00:00:00.000,42399,3552708.91981742,8746,28.375162348
2016-08-22 00:00:00.000,44094,2227019.07528938,8194,28.996644695
2016-08-23 00:00:00.000,48330,4477925.14474802,9981,71.748045018
2016-08-24 00:00:00.000,46755,1000820.6423136,9011,29.702657191
2016-08-25 00:00:00.000,49714,889387.117247497,10070,31.277332869
2016-08-26 00:00:00.000,47075,1911011.2835175,9257,30.261488732
2016-08-27 00:00:00.000,47777,895305.584619302,9592,28.287782645
2016-08-28 00:00:00.000,42425,750355.791683248,9005,25.318075747
2016-08-29 00:00:00.000,45288,1112478.93987078,9827,29.012723817
2016-08-30 00:00:00.000,46735,778415.076753709,9327,31.590019472
2016-08-31 00:00:00.000,45581,1009860.88164271,10043,28.689673297
2016-09-01 00:00:00.000,47204,1901515.05662353,11052,30.216681171
2016-09-02 00:00:00.000,54718,1676668.61079621,10294,42.130531428
2016-09-03 00:00:00.000,44638,1163002.6969053,9120,26.946672885
2016-09-04 00:00:00.000,47990,1388054.01895211,8919,49.168186209
2016-09-05 00:00:00.000,42507,733547.707508383,8965,27.761353559
2016-09-06 00:00:00.000,48736,868463.887722148,9086,30.499971678
2016-09-07 00:00:00.000,48438,802559.593841556,9224,32.43399771
2016-09-08 00:00:00.000,55689,1437381.33429635,10863,38.813282128
